"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Медиахолдинг","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"«РИА Новости» — информационное агентство","ria.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","РИА","да","24557279","43885600","00:11:52","0.0","2977299"
"«Комсомольская правда» — газета // WWW.KP.RU","kp.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости, Новости и СМИ->Газеты, журналы","Новости","Комсомольская правда Digital","да","20020505","31877650","00:05:22","0.0014106691132406675","1492633"
"«Lenta.ru» — интернет-газета","lenta.ru","Новости и СМИ","Новости","Rambler&Co","да","19110754","31211350","00:14:22","0.0","2099341"
"«Вести.ru» — интернет-канал","vesti.ru","Новости и СМИ->Телевидение, Новости и СМИ","Новости","ВГТРК","да","18812493","29188450","00:06:00","0.003682972476434127","1590446"
"«РосБизнесКонсалтинг» — информационное агентство","rbc.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","РБК","да","15459447","26548400","00:16:03","0.01148417197143155","1643367"
"«Газета.ru» — интернет-газета","gazeta.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","Rambler&Co","да","14440157","23371100","00:07:56","0.0","1291471"
"Московский Комсомолец (МК) — газета","mk.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","Московский Комсомолец","да","13981833","21317550","00:06:51","0.0","1292231"
"«Russia Today» — телеканал","rt.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","13510656","22284800","00:06:03","0.0","1310520"
"«Аргументы и факты» — газета | aif.ru","aif.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости, Новости и СМИ->Газеты, журналы","Новости","","да","10772421","15480550","00:02:32","0.0","583954"
"Коммерсантъ — издательский дом","kommersant.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","да","8736723","13392800","00:06:55","0.0","615304"
"«Life.ru» — информационный портал","life.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","да","8156823","11715400","00:06:07","0.0","613529"
"Ура.ру — информационное агентство","ura.news","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","8059588","11645750","00:05:10","0.0","616560"
"«24СМИ» — новостной портал","24smi.org","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","да","7451597","10277150","00:03:19","0.0","383937"
"«НТВ» — телекомпания","ntv.ru","Новости и СМИ->Телевидение, Новости и СМИ","Новости","Газпром-Медиа Холдинг","да","7119379","9880500","00:05:15","0.026425349832311783","395801"
"«Российская газета» — издание Правительства РФ","rg.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","","6750000","9570000","","",""
"Starhit.ru — портал о жизни звезд","starhit.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","HSM","да","6566510","9690700","00:05:48","0.0","501304"
"«Первый канал» — официальный сайт","1tv.ru","Новости и СМИ->Телевидение, Новости и СМИ","Новости","","","6330000","9370000","","",""
"«Эхо Москвы» — радиостанция","echo.msk.ru","Новости и СМИ","Новости","Газпром-Медиа Холдинг","да","6315498","9983400","00:18:20","0.0","586852"
"«Взгляд» — деловая газета","vz.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","6029841","9030200","00:11:46","0.0","536054"
"«360» — телеканал","360tv.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","5960589","8374350","00:02:46","0.0","341411"
"Федеральное агентство новостей. Новости со всего мира","riafan.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","5868851","8486200","00:04:42","0.0","476566"
"«Regnum» — федеральное информационное агентство","regnum.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","5852259","8592000","00:02:47","0.0","375442"
"«7 дней» — развлекательный портал","7days.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","Газпром-Медиа Холдинг","да","5490327","7819450","00:04:20","0.0","402197"
"Дни.ру – влиятельная российская интернет-газета","dni.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","5463034","7682650","00:07:47","0.0","536573"
"«Звезда» — телерадиокомпания","tvzvezda.ru","Новости и СМИ->Телевидение, Новости и СМИ","Новости","","да","5111584","7146200","00:02:04","0.0","274543"
"«ТАСС» — государственное информационное агентство","tass.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","5070000","7620000","","",""
"«Ведомости» — ежедневная деловая газета","vedomosti.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","4810410","6982700","00:03:33","0.0","267832"
"Телеканал Царьград последние новости онлайн","tsargrad.tv","Новости и СМИ->Телевидение, Новости и СМИ","Новости","","да","4758744","6465500","00:03:21","0.0","298157"
"«Гарант» — информационно-правовой портал","garant.ru","Государство и общество, Новости и СМИ->Деловые новости, Государство и общество->Законодательство, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","4500000","6670000","","",""
"MSN Россия | Новости, фото, погода, Skype и Outlook","msn.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","4493817","7516450","00:51:09","0.0","627512"
"24 СМИ","24smi.info","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","4320000","6400000","","",""
"Экспресс газета - сетевое издание | EG.RU","eg.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","Комсомольская правда Digital","да","4273192","5799900","00:03:33","0.0","261436"
"Wi-fi.ru — информационно-развлекательный портал","wi-fi.ru","Новости и СМИ","Новости","Максима Телеком","да","4240741","8344450","01:16:47","0.0","792077"
"«Свободная Пресса» — ежедневное интернет-издание","svpressa.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","4160000","5970000","","",""
