"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Медиахолдинг","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"«РИА Новости» — информационное агентство","ria.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","МИА «Россия сегодня»","да","25648761","44531150","00:10:20","0.0","3239095"
"«Комсомольская правда» — газета // WWW.KP.RU","kp.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости, Новости и СМИ->Газеты, журналы","Новости","Комсомольская правда Digital","да","24104521","37683900","00:05:48","0.0013198768419945008","1899295"
"«Вести.ru» — интернет-канал","vesti.ru","Новости и СМИ->Телевидение, Новости и СМИ","Новости","ВГТРК","да","23240729","36381100","00:06:23","0.0015736068153453795","2310635"
"«Lenta.ru» — интернет-газета","lenta.ru","Новости и СМИ","Новости","Rambler&Co","да","22928953","37833300","00:13:06","0.0","2709712"
"«Газета.ru» — интернет-газета","gazeta.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","Rambler&Co","да","22220657","36668900","00:09:09","0.0","2240083"
"«РосБизнесКонсалтинг» — информационное агентство","rbc.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","РБК","да","19237508","31782950","00:13:55","0.009226446162657503","2109995"
"Московский Комсомолец (МК) — газета","mk.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","Московский Комсомолец","да","17252292","27498700","00:06:10","0.0","1580019"
"«Russia Today» — телеканал","rt.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","16193735","25921950","00:05:40","0.0","1620123"
"«Аргументы и факты» — газета | aif.ru","aif.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости, Новости и СМИ->Газеты, журналы","Новости","","да","13824586","19890600","00:03:23","0.0","864149"
"«ТАСС» — государственное информационное агентство","tass.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","11373098","16908250","00:04:21","0.0","825336"
"Ура.ру — информационное агентство","ura.news","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","10495665","15378750","00:04:35","0.0","820125"
"«Российская газета» — издание Правительства РФ","rg.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","","10200000","14700000","","",""
"Коммерсантъ — издательский дом","kommersant.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","да","10027165","15009950","00:06:13","0.0","765046"
"«Life.ru» — информационный портал","life.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","да","9469573","13476800","00:06:38","0.0","610955"
"Федеральное агентство новостей. Новости со всего мира","riafan.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","9439230","13419200","00:03:48","0.0","750258"
"Дни.ру – влиятельная российская интернет-газета","dni.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","9168517","12884800","00:06:27","0.0","990196"
"«НТВ» — телекомпания","ntv.ru","Новости и СМИ->Телевидение, Новости и СМИ","Новости","Газпром-Медиа Холдинг","да","8311713","11493550","00:05:26","0.023978347057029583","472770"
"Starhit.ru — портал о жизни звезд","starhit.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","HSM","да","8200417","11938700","00:04:35","0.0","644355"
"«Первый канал» — официальный сайт","1tv.ru","Новости и СМИ->Телевидение, Новости и СМИ","Новости","","","7980000","11300000","","",""
"«Известия.Ru» — ежедневная газета | IZ.RU","iz.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","7640000","10500000","","",""
"«Телепрограмма» — онлайн-версия женского журнала","teleprogramma.pro","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","Комсомольская правда Digital","да","7302449","10089100","00:05:01","0.0","536060"
"«Эхо Москвы» — радиостанция","echo.msk.ru","Новости и СМИ","Новости","Газпром-Медиа Холдинг","да","7190378","10910250","00:14:41","0.0","711492"
"«Regnum» — федеральное информационное агентство","regnum.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","7132586","10413850","00:02:16","0.0","488187"
"«Ведомости» — ежедневная деловая газета","vedomosti.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","6834832","9658500","00:02:45","0.0","367538"
"«7 дней» — развлекательный портал","7days.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","Газпром-Медиа Холдинг","да","6711535","9265200","00:04:17","0.0","509742"
"«Звезда» — телерадиокомпания","tvzvezda.ru","Новости и СМИ->Телевидение, Новости и СМИ","Новости","","да","6513611","8991200","00:01:50","0.0","362988"
"24 СМИ","24smi.info","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","6500000","9470000","","",""
"«Взгляд» — деловая газета","vz.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","6249737","9283000","00:10:35","0.0","532011"
