"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Медиахолдинг","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"«РИА Новости» — информационное агентство","ria.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","МИА «Россия сегодня»","да","39930072","76910600","00:10:25","0.0","5713872"
"«Комсомольская правда» — газета // WWW.KP.RU","kp.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости, Новости и СМИ->Газеты, журналы","Новости","Комсомольская правда Digital","да","36850658","64770700","00:06:01","7.942561318375094E-4","3716677"
"«РосБизнесКонсалтинг» — информационное агентство","rbc.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","РБК","да","36132742","67673250","00:16:42","0.007192907399128648","4855168"
"«Lenta.ru» — интернет-газета","lenta.ru","Новости и СМИ","Новости","Rambler&Co","да","33492012","64033900","00:15:39","0.0","5274418"
"«Российская газета» — издание Правительства РФ","rg.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости, Новости и СМИ->Газеты, журналы","Новости","","да","26957052","46056800","00:03:57","0.0","2488864"
"Московский Комсомолец (МК) — газета","mk.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","Московский Комсомолец","да","26445607","46368050","00:08:33","0.0","3276491"
"«Газета.ru» — интернет-газета","gazeta.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","Rambler&Co","да","24454272","43537600","00:08:01","0.0","2753816"
"«ТАСС» — государственное информационное агентство","tass.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","21738625","36642300","00:04:03","0.0","1879384"
"Коммерсантъ — издательский дом","kommersant.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","да","21295330","36301700","00:05:32","0.0","1901317"
"«Russia Today» — телеканал","rt.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","20405434","35319300","00:04:08","0.0","2191784"
"«Аргументы и факты» — газета | aif.ru","aif.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости, Новости и СМИ->Газеты, журналы","Новости","","да","20344817","32393800","00:04:02","0.0","1587575"
"«Вести.ru» — интернет-канал","vesti.ru","Новости и СМИ->Телевидение, Новости и СМИ","Новости","ВГТРК","да","19487745","32272050","00:03:53","1.3433842129542792E-4","1935271"
"«Regnum» — федеральное информационное агентство","regnum.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","16640473","27547500","00:02:40","0.0","1606781"
"«НТВ» — телекомпания","ntv.ru","Новости и СМИ->Телевидение, Новости и СМИ","Новости","Газпром-Медиа Холдинг","да","14913275","22363300","00:05:26","0.009335902713908233","931465"
"«Ведомости» — ежедневная деловая газета","vedomosti.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","13326028","21173150","00:02:26","0.0","847692"
" РИА ""SM-News""","sm-news.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","да","12911589","18198050","00:19:40","0.0","1670859"
"«Первый канал» — официальный сайт","1tv.ru","Новости и СМИ->Телевидение, Новости и СМИ","Новости","","","12800000","18700000","","",""
"Федеральное агентство новостей. Новости со всего мира","riafan.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","12631627","19567350","00:03:31","0.0","1064470"
"«Эхо Москвы» — радиостанция","echo.msk.ru","Новости и СМИ->Радио, Новости и СМИ","Новости","Газпром-Медиа Холдинг","да","11623684","19352000","00:15:08","0.0","1326144"
"Ура.ру — информационное агентство","ura.news","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","11347777","17692950","00:04:09","0.0","900000"
"«Life.ru» — информационный портал","life.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","да","11327534","17268750","00:03:54","0.0","787285"
"«Взгляд» — деловая газета","vz.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","11137559","17607150","00:05:48","0.0","958896"
"«M24.ru» — московское сетевое издание","m24.ru","Новости и СМИ","Новости","","да","9679074","14126800","00:01:43","0.0","547266"
"«Гарант» — информационно-правовой портал","garant.ru","Государство и общество, Новости и СМИ->Деловые новости, Государство и общество->Законодательство, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","9460000","14000000","","",""
"«Известия.Ru» — ежедневная газета | IZ.RU","iz.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","8990000","13000000","","",""
"Телеканал Царьград последние новости онлайн","tsargrad.tv","Новости и СМИ->Телевидение, Новости и СМИ","Новости","","да","8927830","13485050","00:03:14","0.0","631991"
"«Forbes Russia» — финансово-экономический журнал","forbes.ru","Финансы->Финансовые новости, Новости и СМИ->Финансовые новости, Новости и СМИ, Финансы","Новости","","да","7902828","11834550","00:02:43","0.0","462371"
"«Фонтанка.ру» — петербургская интернет-газета","fontanka.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","HSM","да","7883733","12299850","00:10:25","0.0","703017"
