"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Медиахолдинг","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"«РИА Новости» — информационное агентство","ria.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","РИА","да","19673192","34912250","00:10:56","0.0","2124588"
"«Комсомольская правда» — газета // WWW.KP.RU","kp.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","Комсомольская правда Digital","да","19260453","30927750","00:06:02","8.143825576105454E-4","1503054"
"«Lenta.ru» — интернет-газета","lenta.ru","Новости и СМИ","Новости","Rambler&Co","да","17599957","28983150","00:15:03","0.0","1788123"
"Рамблер.Новости","news.rambler.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","Rambler&Co","да","16091763","27008750","00:24:05","0.0","1806746"
"«Газета.ru» — интернет-газета","gazeta.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","Rambler&Co","да","14351743","24097750","00:07:36","0.0","1243950"
"«РосБизнесКонсалтинг» — информационное агентство","rbc.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","РБК","да","13797633","24157100","00:17:33","0.012432995830851697","1385988"
"Московский Комсомолец (МК) — газета","mk.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","Московский Комсомолец","да","13176477","20228450","00:06:29","0.0","1075161"
"«Вести.ru» — интернет-канал","vesti.ru","Новости и СМИ->Телевидение, Новости и СМИ","Новости","ВГТРК","да","12035192","17759100","00:04:21","0.0","843548"
"«Известия.Ru» — ежедневная газета | IZ.RU","iz.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","МИЦ «Известия»","да","11158057","17069050","00:03:06","0.0","787077"
"«Russia Today» — телеканал","rt.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","10863218","17550650","00:05:24","0.0","915511"
"«Life.ru» — информационный портал","life.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","да","9520394","13991900","00:09:17","0.0","776515"
"«РЕН ТВ» — телеканал","ren.tv","Новости и СМИ->Телевидение, Новости и СМИ","Новости","МИЦ «Известия»","да","9510757","14129650","00:02:06","0.0","533109"
"«Аргументы и факты» — газета | aif.ru","aif.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","9003402","12939450","00:02:12","0.0","464307"
